event_id,equipment_id,sensor_name,event_type,severity,mesures,mesures_renseignees,minimum,maximum,moyenne,ecart_type,premiere_mesure,derniere_mesure,completude_pct
EVT-2026S1-X022,EQ-FAN-304,vibration_mm_s,incident,low,12,12,2.2,4.3,3.002,0.595,2026-04-02 00:00:00+00:00,2026-04-04 18:00:00+00:00,100.0
EVT-2026S1-X026,EQ-MIX-379,current_a,alert,medium,15,15,17.64,24.53,21.237,1.773,2026-03-06 18:00:00+00:00,2026-03-10 06:00:00+00:00,100.0
EVT-2026S1-X026,EQ-MIX-379,vibration_mm_s,alert,medium,15,15,2.55,3.46,2.872,0.269,2026-03-06 18:00:00+00:00,2026-03-10 06:00:00+00:00,100.0
EVT-2026S1-X027,EQ-CAB-134,current_a,intervention,high,13,13,18.59,23.61,21.225,1.947,2026-01-16 12:00:00+00:00,2026-01-19 12:00:00+00:00,100.0
EVT-2026S1-X027,EQ-CAB-134,temperature_c,intervention,high,13,13,48.99,60.15,54.212,3.643,2026-01-16 12:00:00+00:00,2026-01-19 12:00:00+00:00,100.0
EVT-2026S1-X028,EQ-PUMP-350,temperature_c,observation,critical,16,16,54.86,66.55,60.776,3.821,2026-05-07 12:00:00+00:00,2026-05-11 06:00:00+00:00,100.0
EVT-2026S1-X028,EQ-PUMP-350,vibration_mm_s,observation,critical,16,16,2.57,3.42,2.993,0.258,2026-05-07 12:00:00+00:00,2026-05-11 06:00:00+00:00,100.0
EVT-2026S1-X032,EQ-STEAM-341,pressure_bar,observation,medium,14,14,5.23,6.4,5.951,0.306,2026-04-19 00:00:00+00:00,2026-04-22 06:00:00+00:00,100.0
EVT-2026S1-X032,EQ-STEAM-341,temperature_c,observation,medium,14,14,51.21,60.53,55.566,3.566,2026-04-19 00:00:00+00:00,2026-04-22 06:00:00+00:00,100.0
EVT-2026S1-X033,EQ-PUMP-006,temperature_c,incident,high,17,17,50.78,66.24,58.662,4.382,2026-05-27 00:00:00+00:00,2026-05-31 00:00:00+00:00,100.0
EVT-2026S1-X033,EQ-PUMP-006,vibration_mm_s,incident,high,17,17,2.93,4.42,3.802,0.478,2026-05-27 00:00:00+00:00,2026-05-31 00:00:00+00:00,100.0
EVT-2026S1-X036,EQ-PUMP-001,pressure_bar,incident,low,13,13,5.84,6.42,6.074,0.207,2026-01-07 00:00:00+00:00,2026-01-10 00:00:00+00:00,100.0
EVT-2026S1-X036,EQ-PUMP-001,temperature_c,incident,low,13,13,51.95,64.9,58.308,3.902,2026-01-07 00:00:00+00:00,2026-01-10 00:00:00+00:00,100.0
EVT-2026S1-X036,EQ-PUMP-001,vibration_mm_s,incident,low,13,13,1.92,3.47,2.87,0.396,2026-01-07 02:00:00+00:00,2026-01-10 02:00:00+00:00,100.0
EVT-2026S1-X037,EQ-STEAM-341,pressure_bar,intervention,medium,13,13,5.62,6.43,5.977,0.244,2026-03-15 18:00:00+00:00,2026-03-18 18:00:00+00:00,100.0
EVT-2026S1-X037,EQ-STEAM-341,temperature_c,intervention,medium,13,13,49.56,59.52,55.288,3.323,2026-03-15 18:00:00+00:00,2026-03-18 18:00:00+00:00,100.0
EVT-2026S1-X038,EQ-ROBOT-358,current_a,incident,high,14,14,18.55,26.64,22.737,2.395,2026-05-05 18:00:00+00:00,2026-05-09 00:00:00+00:00,100.0
EVT-2026S1-X038,EQ-ROBOT-358,vibration_mm_s,incident,high,14,14,2.43,4.3,3.287,0.492,2026-05-05 18:00:00+00:00,2026-05-09 00:00:00+00:00,100.0
EVT-2026S1-X039,EQ-CONV-376,current_a,incident,medium,18,18,19.24,23.84,21.595,1.3,2026-04-26 00:00:00+00:00,2026-04-30 06:00:00+00:00,100.0
EVT-2026S1-X039,EQ-CONV-376,rpm,incident,medium,18,18,1446.93,1572.83,1512.957,37.313,2026-04-26 00:00:00+00:00,2026-04-30 06:00:00+00:00,100.0
EVT-2026S1-X040,EQ-FAN-304,rpm,incident,high,15,15,1427.8,1568.89,1500.425,42.139,2026-03-31 06:00:00+00:00,2026-04-03 18:00:00+00:00,100.0
EVT-2026S1-X040,EQ-FAN-304,vibration_mm_s,incident,high,15,15,2.34,4.3,3.135,0.491,2026-03-31 06:00:00+00:00,2026-04-03 18:00:00+00:00,100.0
EVT-2026S1-X042,EQ-COMP-249,pressure_bar,observation,low,15,15,4.83,5.76,5.317,0.228,2026-06-06 00:00:00+00:00,2026-06-09 12:00:00+00:00,100.0
EVT-2026S1-X051,EQ-COMP-396,pressure_bar,incident,low,17,17,5.5,6.52,6.049,0.291,2026-03-19 18:00:00+00:00,2026-03-23 18:00:00+00:00,100.0
EVT-2026S1-X054,EQ-CHILL-188,pressure_bar,incident,high,16,16,5.57,6.76,6.094,0.32,2026-03-01 12:00:00+00:00,2026-03-05 06:00:00+00:00,100.0
EVT-2026S1-X054,EQ-CHILL-188,temperature_c,incident,high,16,16,53.14,67.93,60.817,4.318,2026-03-01 12:00:00+00:00,2026-03-05 06:00:00+00:00,100.0
